Membership No  Date Joined  Active  
    19375      2016-10-16   yes   
    18876      2017-5-10    yes   
    11185      2020-1-7     yes   
    60972      2019-6-25    no    
    82146      2018-7-18    yes   
    35051      2016-11-25   no    
    81590      2016-12-19   yes   
    28488      2016-9-6     no    
    75311      2018-11-2    no    
    24432      2018-9-20    no    
    79270      2016-1-15    no    
    50194      2015-6-25    yes   
    51442      2016-12-4    yes   
    42391      2015-7-7     no    
    14561      2018-7-11    no    
    22857      2020-10-10   no    
    69288      2017-8-20    no    
    86532      2016-3-23    yes   
    86672      2019-3-4     no    
    54896      2017-5-21    yes   
