title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Nash Bridges,2021,Jessie Street between 6th Street and Mint,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.4074094 37.7824123),6,2024-12-18T14:30:38.000,South of Market,-122.4074094,2024-12-06T12:17:47.000,37.7824123
Vegas in Space,1992,3567 18th Street,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,CA,San Francisco,POINT (-122.4230891 37.761516),9,2024-12-18T14:30:38.000,Mission,-122.4230891,2024-12-06T12:17:47.000,37.761516
Sense8 - Season 2,2016,Mission Creek Harbor along Channel St.,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.3941616 37.7734603),6,2024-12-18T14:30:38.000,Mission Bay,-122.3941616,2024-12-06T12:17:47.000,37.7734603
180,2011,555 Market St.,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,CA,San Francisco,POINT (-122.3998704 37.7899845),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3998704,2024-12-06T12:17:47.000,37.7899845
Bullitt,1968,"Candlestick Park Exit, Highway 101",,Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Ant-Man and the Wasp: Quantumania,2023,Central Police Station 766 Vallejo Street,,Pym Particles Production III LLC,Walt Disney Studios Motion Pictures,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors,CA,San Francisco,POINT (-122.4099386 37.7987411),3,2024-12-18T14:30:38.000,Chinatown,-122.4099386,2024-12-06T12:17:47.000,37.7987411
The Last Thing He Told Me,2023,Chestnust Street at Steiner,,20th Television,Apple TV+,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer, Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler,CA,San Francisco,POINT (-122.4379123 37.8006219),2,2024-12-18T14:30:38.000,Marina,-122.4379123,2024-12-06T12:17:47.000,37.8006219
"Play it Again, Sam",1972,Balboa at 22nd Avenue,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,CA,San Francisco,POINT (-122.4812701 37.776455),1,2024-12-18T14:30:38.000,Outer Richmond,-122.4812701,2024-12-06T12:17:47.000,37.776455
The Presidio,1988,Battery Street (The Embarcadero),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4008359 37.7974666),3,2024-12-18T14:30:38.000,Chinatown,-122.4008359,2024-12-06T12:17:47.000,37.7974666
The OA Part II,2019,"Red's Java House (Pier 30-32, The Embarcadero)",,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.3874201 37.7872065),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3874201,2024-12-06T12:17:47.000,37.7872065
The Matrix Resurrections,2021,California at Grant Ave,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.4059509 37.7924672),3,2024-12-18T14:30:38.000,Chinatown,-122.4059509,2024-12-06T12:17:47.000,37.7924672
Blue Jasmine,2013,Aub Zam Zam Bar,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.4493528 37.7695639),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.4493528,2024-12-06T12:17:47.000,37.7695639
The Diary of a Teenage Girl,2015,Tonic,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.4233722 37.7794028),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4233722,2024-12-06T12:17:47.000,37.7794028
